tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
213.00;305873958#3-AddedOnRampEdge_2;99.87;20.20;170.00;0.25;28718647#1_0;5.10;21.49;tripinfo_91 emissions_91 ssm_91 fcd_91;43.00;91;0;775.35;0.97;0.00;6.19;DEFAULT_VEHTYPE;;0;0.00;156953.63;1697.19;11.41;59.59;19.18;0.00;50882.00
220.00;10873193#2_0;224.37;19.96;129.00;0.85;50211834#0_0;5.10;25.19;tripinfo_1577 emissions_1577 ssm_1577 fcd_1577;91.00;1577;0;822.42;0.91;0.00;51.89;DEFAULT_VEHTYPE;;1;34.00;253937.86;1867.53;12.50;94.19;18.75;0.00;82323.16
222.00;10873193#2_0;224.37;23.65;115.00;0.11;29181613#1_0;5.10;29.60;tripinfo_369 emissions_369 ssm_369 fcd_369;107.00;369;0;791.06;1.12;0.00;75.90;DEFAULT_VEHTYPE;;4;39.00;308788.99;2263.14;15.09;113.14;19.00;0.00;100104.67
224.00;10873193#2_0;224.37;22.34;137.00;0.98;50211834#0_2;5.10;28.39;tripinfo_1647 emissions_1647 ssm_1647 fcd_1647;87.00;1647;0;822.42;1.02;0.00;51.48;DEFAULT_VEHTYPE;;1;29.00;268656.34;2259.73;15.13;100.97;20.23;0.00;87094.39
228.00;10873193#2_0;224.37;20.96;108.00;0.07;29181613#1_2;5.10;19.75;tripinfo_366 emissions_366 ssm_366 fcd_366;120.00;366;0;791.06;1.00;0.00;84.88;DEFAULT_VEHTYPE;;7;50.00;346086.86;2586.98;17.25;129.88;21.72;0.00;112196.45
232.00;10873193#2_0;224.37;19.72;147.00;0.57;50211834#0_0;5.10;26.12;tripinfo_1573 emissions_1573 ssm_1573 fcd_1573;85.00;1573;0;822.42;0.94;0.00;47.12;DEFAULT_VEHTYPE;;2;21.00;243531.15;1900.15;12.72;89.77;19.24;0.00;78949.14
234.00;10873193#2_0;224.37;22.39;106.00;0.82;29181613#1_0;5.10;28.25;tripinfo_507 emissions_507 ssm_507 fcd_507;128.00;507;0;791.06;1.02;0.00;94.19;DEFAULT_VEHTYPE;;4;65.00;324253.33;2031.16;13.61;120.74;19.74;0.00;105118.55
238.00;10873193#2_0;224.37;19.59;129.00;0.39;50211834#0_2;5.10;25.41;tripinfo_1511 emissions_1511 ssm_1511 fcd_1511;109.00;1511;0;825.23;0.91;0.00;69.52;DEFAULT_VEHTYPE;;5;43.00;291693.27;1946.35;13.05;107.87;20.87;0.00;94563.19
240.00;10873193#2_0;224.37;20.74;159.00;0.77;50211834#0_2;5.10;27.28;tripinfo_1412 emissions_1412 ssm_1412 fcd_1412;81.00;1412;0;825.23;0.98;0.00;44.12;DEFAULT_VEHTYPE;;4;20.00;260234.38;2175.18;14.55;95.42;19.93;0.00;84363.95
241.00;10873193#2_0;224.37;20.99;182.00;0.03;50211834#0_0;5.10;27.83;tripinfo_1639 emissions_1639 ssm_1639 fcd_1639;59.00;1639;0;822.42;1.00;0.00;23.67;DEFAULT_VEHTYPE;;3;5.00;197412.32;1863.57;12.54;72.88;19.87;0.00;63998.12
245.00;10873193#2_0;224.37;22.81;155.00;0.12;50211834#0_2;5.10;28.68;tripinfo_1546 emissions_1546 ssm_1546 fcd_1546;90.00;1546;0;825.23;1.03;0.00;55.43;DEFAULT_VEHTYPE;;5;21.00;280915.22;2425.44;16.19;105.67;19.81;0.00;91068.32
249.00;10873193#2_0;224.37;21.75;170.00;0.63;50211834#0_1;5.10;28.25;tripinfo_1680 emissions_1680 ssm_1680 fcd_1680;79.00;1680;0;825.23;1.02;0.00;44.06;DEFAULT_VEHTYPE;;3;17.00;252557.28;2085.65;13.96;92.13;19.81;0.00;81874.98
251.00;192591565#2_0;258.68;25.25;50.00;0.95;690516091#0_0;5.10;25.48;tripinfo_1241 emissions_1241 ssm_1241 fcd_1241;201.00;1241;0;903.69;0.92;0.00;163.46;DEFAULT_VEHTYPE;;10;132.00;477223.07;2777.73;18.63;183.21;25.46;0.00;154709.99
252.00;10873193#2_0;224.37;21.10;169.00;0.31;50211834#0_0;5.10;27.73;tripinfo_1459 emissions_1459 ssm_1459 fcd_1459;83.00;1459;0;825.23;1.00;0.00;46.52;DEFAULT_VEHTYPE;;2;16.00;245656.34;1830.64;12.32;88.67;20.83;0.00;79638.22
255.00;305873958#3-AddedOnRampEdge_0;99.87;20.56;219.00;0.77;29181613#1_1;5.10;26.58;tripinfo_915 emissions_915 ssm_915 fcd_915;36.00;915;0;477.81;0.96;0.00;13.82;DEFAULT_VEHTYPE;;0;0.00;128676.04;1289.36;8.62;47.91;11.67;0.00;41714.68
259.00;305873958#3-AddedOnRampEdge_0;99.87;21.92;223.00;0.51;29181613#1_2;5.10;19.53;tripinfo_587 emissions_587 ssm_587 fcd_587;36.00;587;0;477.81;1.03;0.00;16.42;DEFAULT_VEHTYPE;;0;0.00;154186.27;1637.12;10.92;57.71;13.56;0.00;49984.56
261.00;10873193#2_0;224.37;20.92;154.00;0.38;29181613#1_0;5.10;26.53;tripinfo_563 emissions_563 ssm_563 fcd_563;107.00;563;0;791.06;0.96;0.00;70.31;DEFAULT_VEHTYPE;;1;49.00;294974.70;2047.93;13.73;109.56;21.04;0.00;95626.85
